likely_mpid,expt_gap,formula
mp-558609,0.0,Ce3Ta(ClO2)3
,0.0,Ce3TaO7
mp-606703,2.3,Ce4(GeS4)3
mp-23252,0.0,Ce4Bi3
mp-579188,0.0,Ce4FeSe6O
,1.69,Ce4InSbSe9
mp-1006390,0.0,Ce4Si3Rh4
,0.5,Ce4Te7
mp-571312,0.0,Ce5(SiN3)3
,0.0,Ce5CuSe8
mp-510493,0.0,Ce5Ge3
mp-570175,0.0,Ce5Si3
mp-570060,0.0,Ce6B2(CBr)3
,1.99,Ce8Sb2S15
,0.0,Ce8U2O21
,0.0,Ce9SmO20
mp-31420,0.0,CeAgSn
,0.0,CeAl2Pd5
mp-7225,0.0,CeAl2Pt3
mp-20338,0.0,CeAl3Ni2
mp-19843,0.0,CeAlO3
mp-9400,0.0,CeAlSi2
mp-8948,0.0,CeAsPd
mp-607004,0.0,CeAsSe
mp-11593,0.0,CeB2Ir3
mp-639306,0.0,CeBC
mp-1204806,2.34,CeBiW2O9
mp-31173,0.0,CeCd2Ag
,0.0,CeCdAu2
mp-644499,0.0,CeCoGeH
mp-510560,4.85,CeF3
,0.0,CeGaO3
mp-24011,0.0,CeHSe
mp-702,0.0,CeHg
mp-20449,0.0,CeInIr
mp-30507,0.0,CeIr5
,0.0,CeLu3
mp-31175,0.0,CeMg2Ag
,0.0,CeMgAg2
mp-13435,0.0,CeMgNi4
mp-19934,0.0,CeMgPt
mp-13254,0.0,CeMgZn2
mp-1192442,2.52,CeMoO4F
mp-2493,0.7,CeN
mp-7550,0.0,CeNbO4
mp-20194,3.41,CeO2
mp-1102302,0.0,CeOs2
mp-22217,0.0,CePd5
,0.0,CePrO2
mp-1018117,0.0,CeRh
mp-680698,0.0,CeSI
,0.0,CeSbO3
mp-777413,3.2,CeScO3
mp-15653,0.0,CeSi2Ni
mp-3284,0.0,CeSi2Pt
mp-29535,0.0,CeSiI
mp-21441,0.0,CeSiIr
mp-505005,0.0,CeSiOs
,1.9,CeTaN2O
mp-638100,2.4,CeTl2P2S7
mp-20603,0.0,CeTl3
mp-1018669,0.0,CeTlZn
mp-13207,0.0,CeZnPO
,0.0,Co(PO3)4
,0.0,Co(WO4)2
,0.2,Co1Te1.88
mp-10055,0.0,Co2B4Mo
mp-1102616,0.0,Co2Ge
,0.0,Co2O3
mp-18855,3.6,Co2Te3O8
,0.0,Co3H
mp-20456,0.0,Co3Se4
mp-2157,0.0,Co3W
,0.0,Co5Ge7
,0.0,Co5RuO8
mp-567747,0.0,Co7Mo6
,0.0,Co7Re17O48
mp-452,0.4,CoAs3
mp-22546,0.0,CoAsRh
mp-553946,0.6,CoAsS
mp-505511,0.2,CoAsSe
,0.0,CoCu2Sn
mp-21237,0.0,CoGe
,0.0,CoH2(SN)4
mp-1025557,0.0,CoMoP2
mp-448,0.0,CoN
,0.0,CoOF
mp-14285,0.35,CoP2
mp-1944,0.45,CoP3
,0.4,CoPS
mp-755,0.17,CoSb2
mp-1317,0.49,CoSb3
mp-568349,0.0,Cr(FeSe2)2
mp-542188,0.0,Cr(MoS2)2
,0.0,Cr10Sb3Te7
mp-22803,0.0,Cr2CuS4
mp-22625,0.0,Cr2CuTe4
mp-19821,0.0,Cr2GeC
,0.0,Cr2HO4
mp-5602,0.0,Cr2HgSe4
mp-27512,0.0,Cr2NiS4
mp-19399,3.4,Cr2O3
,0.0,Cr2P3O11
,0.0,Cr2SbTe
,0.0,Cr3N2
,0.0,Cr3Ni(PO4)6
mp-7806,0.0,Cr3P
mp-27840,1.59,Cr3Se4
,0.0,Cr4As3
,0.0,Cr4Cu3Te8
mp-1196316,0.0,Cr7C3
mp-20717,0.0,CrAs
mp-1197022,1.8,CrB2(PbO2)6
,2.4,CrBi2I2O11
,0.0,CrCo2Bi
mp-10394,0.0,CrCoGe
mp-570863,0.0,CrCoPt2
,0.0,CrCu2Si
,0.0,CrFe2Sb
mp-21495,0.0,CrFeP
mp-504919,0.0,CrH9(CN2)3
,0.0,CrIrO4
,0.0,CrIrO6
,0.0,CrNi3
mp-4989,0.0,CrNiAs
,0.0,CrNiP2O9
mp-19177,0.23,CrO2
mp-510421,1.4,CrO3
mp-19146,2.25,CrPbO4
mp-22498,0.14,CrSb2
mp-11191,1.3,CrSi2
,0.17,CrTe2
mp-570837,0.0,Cs(AsRu)2
mp-17022,0.0,Cs(MoO3)3
,2.1,Cs0.4K0.6P1Se6
,1.0,Cs1.13Cd1.13Bi2.87Se6
,1.28,Cs1.43Cd1.43Bi2.57S6
,3.16,Cs10Cd4Sn4S17
mp-1078250,2.19,Cs2AgBiBr6
mp-1078258,2.77,Cs2AgBiCl6
mp-1019602,4.13,Cs2Al2B2O7
mp-1019605,6.31,Cs2Ba3(P2O7)2
,2.63,Cs2Cd(PSe3)2
,1.66,Cs2Cd0.25Hg5.75S7
,1.84,Cs2Cd1.35Hg4.65S7
,1.7,Cs2Cd2Bi2S5
mp-1201213,4.76,Cs2Cd3(B4O7)4
mp-567386,2.48,Cs2Cd3Te4
mp-28497,0.0,Cs2CrCl4
,2.4,Cs2Cu(PS3)3
mp-1190579,1.6,Cs2Cu2Sb2S5
,1.38,Cs2DyCu3Te4
,3.26,Cs2Ga2S5
,1.95,Cs2Ga2Se5
,2.15,Cs2Hg(ICl)2
mp-540574,2.56,Cs2Hg3I8
mp-1105419,2.8,Cs2Hg3S4
mp-17905,1.63,Cs2Hg6S7
,1.0,Cs2La1.19Bi8.81S16
mp-966802,7.3,Cs2Li3(BO2)5
mp-1195667,2.04,Cs2MgGe3Se8
mp-1195633,1.92,Cs2MgSn3Se8
,0.0,Cs2Mo15S19
mp-558211,0.0,Cs2NaCoF6
,0.0,Cs2NaMgF6
mp-554858,0.0,Cs2NaMnF6
mp-15223,2.19,Cs2NbCuSe4
,1.6,Cs2P2PdSe6
mp-31285,1.5,Cs2PdSe8
,2.4,Cs2Pt(IO3)6
,0.0,Cs2SCl6F
mp-1191118,0.62,Cs2Sb
,0.0,Cs2SeClF6
,6.53,Cs2SiB4O9
,2.06,Cs2Sn(PSe3)2
mp-1195304,2.34,Cs2Sn3(SbS5)2
mp-573763,3.5,Cs2Te
mp-23405,2.12,Cs2TeBr6
mp-540957,1.5,Cs2TeI6
mp-640389,2.8,Cs2Th(PS3)3
mp-10488,2.44,Cs2Ti(AgS2)2
mp-8684,1.77,Cs2VAgS4
,4.3,Cs2Zn3(SeO3)4
,3.33,Cs2ZnGe3S8
mp-1194749,2.31,Cs2ZnGe3Se8
,1.07,Cs2ZnGe3Te8
mp-1194701,2.12,Cs2ZnSn3Se8
,2.74,Cs39Ga53(Se16Cl)6
mp-542220,0.6,Cs3As
mp-27544,2.5,Cs3Bi2Br9
mp-669458,1.8,Cs3Bi2I9
mp-1019615,6.53,Cs3Li4(BO2)7
,0.3,Cs3NaZn2Ge21
mp-683903,1.35,Cs3Nb2AsSe11
mp-1201443,3.22,Cs3Nb9(TeO8)4
,3.27,Cs3PW3O13
mp-10378,1.6,Cs3Sb
mp-579560,2.3,Cs3Sb2Br9
mp-23029,1.89,Cs3Sb2I9
,2.96,Cs3Sn3Cl7F2
mp-541084,0.0,Cs3V2Cl9
,2.0,Cs4Ag9(SbS3)4
mp-1204289,1.02,Cs4BiAs3Se7
,1.14,Cs4Ga4Si19
mp-1195417,2.0,Cs4Ge(PSe3)4
mp-1202502,1.95,Cs4Ge5(PbS4)4
,2.2,Cs4In8GeSe16
mp-680246,2.35,Cs4Zr3S14
,1.85,Cs5Bi(PSe3)4
mp-581739,0.0,Cs5Mo21Se23
,2.17,Cs5P5Se12
,0.22,Cs6.4Na1.6Ga8Ge38
mp-866615,2.7,CsAg2AsS3
,2.04,CsAg2TeS6
mp-9206,0.65,CsAg5Te3
mp-28610,0.0,CsAgCl3
mp-554408,2.04,CsAgSb4S7
mp-2667,2.3,CsAu
mp-3977,7.42,CsB3O5
mp-23163,0.55,CsBi2
mp-567928,0.43,CsBi3Se5
mp-541378,1.39,CsBiS2
,1.07,CsBiSe2
,0.0,CsCaO3
,3.09,CsCd4Ga5S12
,2.21,CsCd4Ga5Se12
,1.67,CsCd4Ga5Te12
,1.62,CsCd4In5Se12
,1.42,CsCd4In5Te12
mp-1191636,2.58,CsCdBO3
,2.4,CsCdInSe3
mp-574426,2.4,CsCeCdSe3
mp-574472,1.94,CsCeHgSe3
,1.7,CsCu(SbS2)2
mp-1196438,2.3,CsCu2AsS3
,1.63,CsCu2SbS3
,1.99,CsDy9(Cd2Se9)2
,2.09,CsEr9(Cd2Se9)2
mp-7155,2.56,CsErZnSe3
mp-8396,0.0,CsEuF3
mp-1784,10.0,CsF
,1.87,CsGa(SnSe3)2
mp-30574,0.0,CsGa7
mp-562726,3.0,CsGaS3
,1.97,CsGaSnSe4
,0.0,CsGdO3
mp-1104469,2.13,CsGdZnTe3
,4.89,CsGe5BO12
mp-558804,5.76,CsGeB3O7
mp-28377,1.6,CsGeI3
,4.77,CsH3(SeO3)2
,2.06,CsHo9(Cd2Se9)2
,1.78,CsIn(SnSe3)2
,2.32,CsInGeSe4
mp-1194853,2.3,CsInHgS3
,0.0,CsInI3
mp-559459,3.4,CsInS2
mp-1200720,2.81,CsInSe2
,2.9,CsInSnS4
mp-1199743,2.16,CsInTe2
mp-1192413,3.9,CsInTe3O8
,0.0,CsIr
,0.0,CsIrO3
,2.36,CsK(PSe4)2
mp-11124,2.46,CsLaHgSe3
mp-1019715,6.89,CsLi(B3O5)2
,6.19,CsLiCO3
mp-1202825,1.86,CsLu7S11
mp-1203743,1.78,CsLu7Se11
,0.0,CsMg149
,1.55,CsMn4Ga5Te12
,1.79,CsMn4In5Se12
,1.48,CsMn4In5Te12
mp-510378,0.0,CsMnSb
,0.8,CsNa2Sb
,4.67,CsNa8(B7O12)3
mp-570455,0.0,CsNb6I11
,4.2,CsNbSe2O7
mp-1181552,0.0,CsNi2F6
mp-1192530,4.39,CsPPbO4
,2.44,CsPSe4
mp-1194666,1.9,CsPSe6
,2.41,CsRb(PSe4)2
,1.5,CsRb2Sb
,0.0,CsRbP
mp-1195448,4.68,CsSb(SO4)2
mp-561639,2.8,CsSbS2
mp-2969,1.7,CsSbSe2
,0.43,CsSbTe2
mp-1194629,5.2,CsSc(SeO3)2
,0.0,CsScBr3
mp-510062,2.45,CsSmCdSe3
mp-7212,2.37,CsSmHgSe3
,0.0,CsSn3
,3.88,CsTa3(SeO6)2
,2.29,CsTaPSe6
,1.95,CsTb9(Cd2Se9)2
mp-638078,2.12,CsTbZnTe3
mp-28283,0.0,CsTiCl3
mp-504701,0.0,CsTiF4
,2.16,CsTm9(Cd2Se9)2
mp-13348,0.0,CsUCuS3
mp-12324,0.0,CsVP2S7
mp-30974,0.0,CsWCl6
mp-11116,2.54,CsYCdSe3
mp-11123,2.54,CsYHgSe3
,3.4,CsYTe3O8
mp-542948,0.95,CsYbCoSe3
,1.59,CsYbMnSe3
mp-1195000,5.69,CsZn2B3O7
,1.61,CsZn4In5Se12
,1.61,CsZn4In5Te12
,2.0,CsZrPSe6
mp-15065,0.0,Cu(IrS2)2
mp-640926,0.0,Cu(NO3)2
,1.48,Cu0.5Ge1Pb1.75S4
,0.68,Cu0.96Bi2Se3I1
mp-542333,2.3,Cu1.8S1
mp-2004,0.0,Cu10Sb3
,0.0,Cu11Sb4S13
mp-14266,0.0,Cu15Si4
,0.0,Cu18S11
,0.0,Cu23(Sb4S13)2
,0.0,Cu25Se26
mp-1072589,0.53,Cu2GeS3
mp-1181662,0.0,Cu2H3ClO3
mp-6820,0.0,Cu2Hg2SF6
mp-12855,0.0,Cu2HgGeSe4
mp-361,2.58,Cu2O
,0.0,Cu2OF2
mp-510654,0.0,Cu2PHO5
mp-1825,0.0,Cu2Sb
mp-17598,2.64,Cu2Te3O8
,1.65,Cu2WSe4
,0.0,Cu3(BiI4)4
mp-1190666,0.0,Cu3(P2O7)2
,0.72,Cu3Bi6S10I
mp-1194777,2.56,Cu3Hg2(Te3O8)2
mp-580357,0.0,Cu3Pd
mp-9814,0.31,Cu3SbSe4
mp-557136,0.0,Cu3Se2(ClO3)2
mp-21770,0.0,Cu4As2O9
mp-707201,0.0,Cu4H10SO12
mp-30594,0.0,Cu4Pd
,0.8,Cu4Sn7S16
,0.0,Cu4W(SCl)4
mp-1200185,0.0,Cu5(Si2O7)2
,0.0,Cu6PbO8
mp-1192989,0.0,Cu7Hg6
mp-704745,0.0,Cu8O
,0.0,Cu9O13
mp-542333,0.0,Cu9S5
mp-558647,0.0,Cu9Se4(Cl3O7)2
mp-12954,3.61,CuBS2
mp-569715,1.2,CuBi(PSe3)2
mp-624191,0.12,CuBiPbS3
,0.07,CuBiPbSe3
,1.07,CuBiSO
mp-23116,0.82,CuBiSeO
mp-3421,0.0,CuCN2
,0.0,CuClO2
,0.0,CuF
mp-1194904,3.25,CuHg(SeO3)2
mp-619545,0.0,CuMoO4
,4.17,CuN3
,2.7,CuNi(CN)4
,0.0,CuP2(HO3)2
,0.0,CuPO4F
mp-1105187,2.2,CuPS3
mp-1018029,0.0,CuPd
,0.0,CuPtO2
mp-649774,1.31,CuSbPbS3
mp-4468,1.38,CuSbS2
mp-20331,1.05,CuSbSe2
mp-560049,0.0,CuSeO3
mp-984726,0.0,Dy(Al2Cu)4
mp-19771,0.0,Dy(CoGe)2
,0.2,Dy(CuSe)3
mp-2917,0.0,Dy(CuSi)2
,0.34,Dy(CuTe)3
mp-21082,0.0,Dy(GeRu)2
,1.22,Dy(InS2)3
mp-567858,0.0,Dy12C6I17
mp-573622,0.0,Dy12Co7
,0.6,Dy1Te1.4
,0.6,Dy1Te1.45
,0.35,Dy1Te1.7
mp-641314,0.0,Dy2(GePt3)3
,1.92,Dy2(MoO4)3
mp-13431,0.0,Dy2AlCo2
mp-12574,0.0,Dy2C
mp-12977,0.0,Dy2CdPd2
,0.0,Dy2CuOs
,0.0,Dy2MgIn
,0.0,Dy2MgTl
mp-864836,0.0,Dy2Ni12P7
mp-2345,5.0,Dy2O3
mp-1270,2.91,Dy2S3
mp-568064,0.0,Dy2Sn5
mp-1188427,0.69,Dy2Te3
mp-19950,0.0,Dy2Ti3Si4
,0.0,Dy2TlCd
,0.0,Dy2ZnIn
mp-22039,0.0,Dy3(CuGe)4
,2.22,Dy3Al0.5Si1S7
,0.0,Dy3Ga
mp-1189242,2.81,Dy3GaS6
mp-19881,0.0,Dy3InC
mp-14356,0.0,Dy3MnB7
mp-570768,0.0,Dy4CdRh
mp-1196712,2.58,Dy4GaSbS9
mp-1927,0.0,Dy4Sb3
mp-1095296,1.43,Dy4Te3S4
mp-569760,0.0,Dy5Pb3
mp-30623,0.0,Dy5Sn3
mp-10516,0.0,Dy6FeTe2
mp-641778,0.0,Dy7In(CoGe3)4
mp-2167,0.0,DyAg
mp-567574,0.0,DyAgGe
,0.0,DyAgHg2
mp-2627,1.0,DyAs
mp-571041,0.0,DyB2Rh2C
mp-568319,3.3,DyB6
mp-10060,0.0,DyBPd3
mp-1009543,0.0,DyBiPd
mp-30453,0.0,DyBiPt
mp-11294,0.0,DyCd2
mp-8742,0.0,DyCoSi2
mp-22698,0.0,DyFeSi
mp-20122,0.0,DyGe
mp-22177,0.0,DyInAu
mp-22680,0.0,DyInCu2
mp-1078790,0.0,DyInPt2
mp-1358,0.0,DyIr2
mp-1102404,0.0,DyMn2
mp-638084,0.0,DyNiGe2
mp-510152,0.0,DyNiSn
mp-5767,6.38,DyPO4
mp-232,0.0,DyRh
mp-1018675,0.0,DyS2
mp-20281,0.0,DySiIr
mp-570860,0.0,DySn3
,0.0,DySnRu2
,0.0,DyYAg2
mp-1018682,0.0,DyZnGa
,0.0,DyZnRh2
,0.0,DyZrRu2
mp-5068,0.0,DyZrSb
mp-680636,0.0,Er(Al10Cr)2
mp-12082,0.0,Er(CrSi)2
mp-5083,0.0,Er(CuGe)2
mp-640885,0.24,Er(CuTe)3
,1.28,Er(InS2)3
,0.0,Er(ReO4)2
mp-3218,0.0,Er(SiPd)2
mp-866685,0.0,Er2(Ga3Co)3
,0.96,Er2(MoO4)3
mp-9544,0.0,Er2C3
mp-3680,0.0,Er2Fe14B
mp-1018684,0.0,Er2Mg3Ru
mp-9267,0.0,Er2MnC4
mp-679,5.42,Er2O3
mp-209,1.66,Er2Se3
mp-31143,0.0,Er2SnAu2
mp-14643,0.9,Er2Te3
mp-12388,0.0,Er3Al3NiGe2
,0.0,Er3SnC
,0.9,Er3Te4
mp-504627,0.0,Er4NiB13
mp-31466,0.0,Er5Bi3
mp-570864,0.0,Er5NiPb3
mp-31167,0.0,Er5Si3
mp-23039,0.0,Er6MnBi2
mp-569724,0.0,ErAgSn
mp-569739,0.0,ErAl9(Fe2Si3)2
mp-1024985,0.0,ErAlGe
mp-5197,0.0,ErB2Ir3
mp-3093,0.0,ErB2Ru3
mp-1296,3.5,ErB6
mp-10061,0.0,ErBPd3
mp-1198777,3.26,ErBiW2O9
mp-1955,0.0,ErCu
mp-16751,0.0,ErCuPb
mp-1018064,0.0,ErFeC2
mp-11369,0.0,ErHg2
,0.0,ErLu3
mp-30607,0.0,ErMg2
mp-1025001,0.0,ErNi4Au
mp-12965,0.0,ErNi4B
mp-622620,0.0,ErNiSn
mp-30377,0.0,ErPbAu
,0.0,ErRu3
mp-9978,1.07,ErSe2
mp-17093,0.0,ErSiPd
mp-5640,0.0,ErSnAu
mp-1280,0.9,ErTe
mp-30609,0.0,ErTlPd
mp-30614,0.0,ErZn12
mp-13485,0.0,Eu(AlAu)2
mp-1069444,0.0,Eu(AsPd)2
mp-1193071,1.02,Eu(BiSe2)2
,0.44,Eu(BiTe2)2
mp-19774,0.0,Eu(CdSb)2
mp-627640,0.0,Eu(ClO4)3
mp-645690,1.8,Eu(DySe2)2
mp-1193984,1.7,Eu(ErSe2)2
mp-582357,0.0,Eu(FeSi)2
mp-1181942,2.25,Eu(GaS2)2
mp-1201775,2.16,Eu(GaSe2)2
mp-1103807,1.7,Eu(GaTe2)2
mp-1193885,1.8,Eu(HoSe2)2
,0.0,Eu(InAs)2
mp-1105168,1.5,Eu(InS2)2
mp-1104657,1.31,Eu(InSe2)2
,1.22,Eu(InTe2)2
mp-645692,1.7,Eu(LuSe2)2
mp-1006146,0.0,Eu(MgBi)2
mp-672298,0.0,Eu(MnGe)2
mp-580731,0.0,Eu(Ni2B)6
mp-6992,0.0,Eu(NiAs)2
mp-20802,0.0,Eu(POs)2
mp-1194437,1.2,Eu(SbS2)2
mp-1192961,0.95,Eu(SbSe2)2
mp-542964,1.8,Eu(TmSe2)2
mp-19808,0.0,Eu(ZnGe)2
mp-22133,0.0,Eu(ZnSi)2
,2.14,Eu1.75Ag0.5Ge1S4
,0.23,Eu1.83Ta15O32
mp-645591,0.0,Eu2(Ga3Rh)3
mp-22234,0.0,Eu2C(NO)2
mp-22306,0.0,Eu2CuO4
mp-1192354,2.3,Eu2Ga2GeS7
mp-1019739,0.0,Eu2Ge(BO4)2
mp-1182469,4.5,Eu2O3
mp-613052,0.0,Eu2PBr
mp-20209,0.0,Eu2ReO5
mp-1189540,1.02,Eu2Se3
,1.07,Eu2SnSe5
mp-19897,0.0,Eu2TeO2
mp-1188263,0.45,Eu3(InP2)2
,0.6,Eu3As2
mp-556626,0.0,Eu3BWO9
,1.18,Eu3Bi4S9
,1.2,Eu3P2
mp-1103738,1.7,Eu3S4
mp-684111,1.2,Eu3Sb4S9
mp-1200385,1.08,Eu3Sb4Se9
,0.58,Eu3Se4
,0.0,Eu3Sn
,0.31,Eu4Te7
,0.6,Eu7(Ga3Sb4)2
mp-22707,0.0,EuAgSb
mp-1019732,2.74,EuAl2O4
mp-21455,0.0,EuAlO3
,3.46,EuB(SbO4)2
,0.0,EuBi3
,3.63,EuBiW2O9
mp-583684,0.0,EuCd11
mp-542757,0.0,EuClO
mp-583224,0.0,EuCo8P5
mp-555984,1.85,EuCu2SnS4
mp-568497,0.0,EuCu9Sn4
mp-21356,0.0,EuCuSeF
mp-510596,0.0,EuCuSeO
mp-19908,0.0,EuF3
mp-19763,0.0,EuGe3Pt
mp-1102496,1.85,EuH2
mp-1095411,0.26,EuIn2(GeIr)4
mp-20340,1.25,EuN
mp-974769,0.0,EuNiGe3
mp-21394,1.12,EuO
mp-672290,0.0,EuPPt
mp-1018147,0.0,EuPd
mp-19801,0.0,EuRhO3
mp-20587,1.65,EuS
,0.98,EuSb4S7
,0.54,EuSb4Te7
,0.0,EuSbO3
mp-22487,0.0,EuScO3
mp-21009,3.1,EuSe
mp-639138,0.0,EuSeClO3
mp-20387,0.0,EuSn3
,0.0,EuSnAu2
,0.0,EuSnO3
,0.6,EuSnTe2
mp-555860,0.0,EuTiClO3
mp-1079111,0.0,EuTiO3
mp-542584,0.0,EuTl
mp-1261,0.0,EuZn
mp-12466,0.0,Fe(PdSe)2
,0.0,Fe10O9F11
mp-17977,0.0,Fe12As5
mp-1197728,3.52,Fe2B(PO4)3
,0.0,Fe2Cu(PO4)3
,0.0,Fe2O2F3
mp-19770,2.2,Fe2O3
,0.0,Fe2S
mp-973682,0.0,Fe3B
mp-1804,0.0,Fe3N
mp-2199,0.0,Fe3Si
,2.3,Fe4H15(IO8)3
,0.0,Fe4O7F
mp-628588,0.0,Fe4Si2Sn7O16
,0.0,Fe6O7F5
mp-624243,0.0,Fe6W6C
,0.0,Fe9Co7
,0.0,FeAg3(CN)6
,0.23,FeAgSe2
,0.0,FeAs2O7
mp-1101894,0.6,FeAsSe
mp-1197024,2.54,FeBi(SeO3)3
,2.8,FeBi25O39
mp-5436,0.0,FeCo2Si
,0.0,FeCoAs
mp-505244,0.15,FeCuSe2
,0.16,FeCuTe2
mp-571122,5.15,FeI2
,0.0,FeOF
mp-1005,0.0,FeP
mp-570553,0.32,FeP4
mp-1101971,0.25,FePS
mp-21845,0.0,FePd3
,0.0,FeRhO3
mp-21260,0.0,FeSn
,1.22,Ga1As0.1P0.9
,0.3,Ga0.001Te1Pb0.999
,0.37,Ga0.005Te1Pb0.995
,0.42,Ga0.01Te1Pb0.99
,0.37,Ga0.04Te1Pb0.96
,0.34,Ga0.07Te1Pb0.93
,0.69,Ga0.95Hg0.05Sb0.95Te0.05
,0.72,Ga0.99Hg0.01Sb0.99Te0.01
,0.65,Ga0.9Hg0.1Sb0.9Te0.1
,0.71,Ga1.001Sb0.999Se0.003
,0.72,Ga1.001Sb0.999Te0.003
,0.7,Ga1.002Sb0.998Se0.006
,0.7,Ga1.002Sb0.998Te0.006
,0.64,Ga1.005Sb0.995Se0.015
,0.68,Ga1.005Sb0.995Te0.015
,1.59,Ga1.01Cu0.99Se2.01
,0.62,Ga1.01Sb0.99Se0.03
,0.68,Ga1.01Sb0.99Te0.03
,0.63,Ga1.02Sb0.98Se0.06
,0.68,Ga1.02Sb0.98Te0.06
,0.66,Ga1.05Sb0.95Se0.15
,0.68,Ga1.05Sb0.95Te0.15
,1.59,Ga1.1Cu0.9Se2.1
,0.67,Ga1.1Sb0.9Se0.3
,0.7,Ga1.1Sb0.9Te0.3
,1.58,Ga1.2Cu0.8Se2.2
,2.43,Ga1.5Cu0.5S2.5
,1.76,Ga1.5Cu0.5Se2.5
,2.53,Ga1.65Cu0.35S2.65
,1.81,Ga1.65Cu0.35Se2.65
,2.45,Ga1.6Cu0.4S2.6
,2.55,Ga1.7Cu0.3S2.7
,1.92,Ga1.85Cu0.15Se2.85
,2.65,Ga1.8Cu0.2S2.8
,1.86,Ga1.8Cu0.2Se2.8
,2.64,Ga1.95Cu0.05S2.95
,1.96,Ga1.95Cu0.05Se2.95
,1.99,Ga1.99Cu0.01Se2.99
,2.6,Ga1.9Cu0.1S2.9
,2.23,Ga1As0.01P0.99
,2.2,Ga1As0.2P0.8
,2.16,Ga1As0.3P0.7
,2.1,Ga1As0.4P0.6
,2.0,Ga1As0.5P0.5
,1.91,Ga1As0.6P0.4
,1.8,Ga1As0.7P0.3
,1.62,Ga1As0.8P0.2
,1.37,Ga1As0.99P0.01
,1.5,Ga1As0.9P0.1
,0.7,Ga1Sb0.01As0.99
,0.66,Ga1Sb0.14As0.86
,0.65,Ga1Sb0.25As0.75
,0.68,Ga1Sb0.35As0.65
,0.67,Ga1Sb0.3As0.7
,1.1,Ga1Sb0.85As0.15
,1.02,Ga1Sb0.8As0.2
,1.28,Ga1Sb0.95As0.05
,1.37,Ga1Sb0.99As0.01
,4.14,Ga2(TeO3)3
,2.42,Ga2Cu1S3.5
,0.63,Ga2CuSe4
,1.96,Ga2GePbSe6
,0.84,Ga2GeTe3
mp-4809,2.79,Ga2HgS4
mp-4730,1.95,Ga2HgSe4
mp-6959,0.0,Ga2NiS4
mp-1196984,2.38,Ga2PbS4
mp-571171,1.83,Ga2PbSe4
mp-539,2.8,Ga2S3
mp-1196063,4.61,Ga2Se2O7
,2.35,Ga2Si(AgS3)2
,2.17,Ga2SiPbSe6
mp-1194838,2.04,Ga2SnGeS6
,1.09,Ga3CuTe5
mp-21400,0.0,Ga3Pt2
,2.3,Ga3SiAg3Se8
,1.08,Ga4Cu2Te7
,3.08,Ga4PbS7
,3.1,Ga4SnS7
,2.55,Ga4SnSe7
,2.35,Ga5Ge(PbS3)4
,1.91,Ga5Ge(PbSe3)4
mp-31485,0.0,Ga5Pd13
mp-567502,0.0,Ga8Cu3Mo2
mp-31312,0.0,Ga9Rh2
,2.17,GaAgGe3Se8
,2.14,GaAgGe5Se12
,3.0,GaAgGeS4
mp-1105293,2.2,GaAgO2
mp-4899,1.1,GaAgTe2
,0.0,GaAs2W
,0.1,GaBi
,2.99,GaBi25O39
,1.38,GaCuGeSe4
mp-4280,1.47,GaCuO2
mp-19870,0.0,GaFe3
,0.0,GaFeNi2
mp-8211,1.1,GaGeTe
mp-1194398,5.51,GaHSeO4
mp-2490,2.74,GaP
,2.63,GaSiAgSe4
,0.0,GaSiRu2
,1.42,GaTc
,0.0,GaTc2W
,1.62,Gd(CuS)3
,0.14,Gd(CuSe)3
,0.52,Gd(CuTe)3
,1.13,Gd(InS2)3
mp-646399,0.0,Gd(NiGe)2
mp-569302,0.0,Gd(SiRu)2
,1.2,Gd1.05Sc0.95Se3
,1.75,Gd1.47Mn2.04In0.49S5
,1.56,Gd1.87Lu2.13Se6
,1.66,Gd1Mn1.95In1.05S5
mp-582406,0.0,Gd2(Zn2Ge)3
mp-637222,0.0,Gd2AlCo2
,1.44,Gd2Mn4S7
mp-504886,5.3,Gd2O3
mp-608146,2.55,Gd2S3
mp-1188175,2.2,Gd2Se3
mp-1105966,0.74,Gd2Te3
mp-542437,0.0,Gd2Zn17
mp-1200036,1.88,Gd2ZrS5
mp-580327,0.0,Gd3(AlNi3)2
,1.5,Gd3.04Sc0.96S6
,2.34,Gd3Al0.74Si0.7S7
mp-637182,0.0,Gd3Al7Ag2
mp-605854,0.0,Gd3Co11B4
mp-31101,0.0,Gd3ReO7
mp-20036,0.0,Gd3S4
mp-1199284,2.41,Gd4GaSbS9
,2.2,Gd6Ge2.5S14
mp-680956,0.0,Gd6Ta4Al43
mp-510374,0.63,GdAs
,3.48,GdB(SbO4)2
mp-22266,3.6,GdB6
,1.27,GdB66
mp-20965,0.0,GdCd2
,3.8,GdCd4B3O10
mp-19714,0.0,GdGeRu
,4.84,GdH2NO5
mp-19745,0.0,GdInIr
mp-940,1.54,GdN
mp-505604,0.0,GdNiO3
mp-21149,0.0,GdO2
mp-20415,0.0,GdPbAu
mp-510403,0.0,GdSb
mp-21061,0.0,GdSbPd
mp-510490,2.1,GdScS3
mp-1018707,0.0,GdSe2
mp-574283,1.3,GdTe
mp-2497,0.0,GdZn
mp-1018711,0.0,GdZnIn
mp-23352,3.25,Ge(Bi3O5)4
mp-1205339,5.27,Ge(SeO3)2
,0.0,Ge(WO3)6
,0.27,Ge0.01Pb0.99Se1
